usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,acceptedUsageKey
5361935,Ficus religiosa L.,Ficus religiosa,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus religiosa,6,7707728,220,691,6640,2984588,5361935,FALSE,Magnoliopsida,Ficus religiosa,NA
5361929,Ficus rubiginosa Desf. ex Vent.,Ficus rubiginosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus rubiginosa,6,7707728,220,691,6640,2984588,5361929,FALSE,Magnoliopsida,Ficus rubiginosa,NA
3152111,Firmiana simplex (L.) W.Wight,Firmiana simplex,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Malvales,Malvaceae,Firmiana,Firmiana simplex,6,7707728,220,941,6685,3152110,3152111,FALSE,Magnoliopsida,Firmiana simplex,NA
3831801,Citrus japonica Thunb.,Citrus japonica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus japonica,6,7707728,220,933,2396,3190155,3831801,FALSE,Magnoliopsida,Citrus japonica,NA
5421082,Franklinia alatamaha W.Bartram ex Marshall,Franklinia alatamaha,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Ericales,Theaceae,Franklinia,Franklinia alatamaha,6,7707728,220,1353,3189597,3189614,5421082,FALSE,Magnoliopsida,Franklinia alatamaha,NA
3172327,Fraxinus americana L.,Fraxinus americana,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus americana,6,7707728,220,408,6652,3172323,3172327,FALSE,Magnoliopsida,Fraxinus americana,NA
3172359,Fraxinus dipetala Hook. & Arn.,Fraxinus dipetala,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus dipetala,6,7707728,220,408,6652,3172323,3172359,FALSE,Magnoliopsida,Fraxinus dipetala,NA
3172358,Fraxinus excelsior L.,Fraxinus excelsior,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus excelsior,6,7707728,220,408,6652,3172323,3172358,FALSE,Magnoliopsida,Fraxinus excelsior,NA
3172343,Fraxinus latifolia Benth.,Fraxinus latifolia,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus latifolia,6,7707728,220,408,6652,3172323,3172343,FALSE,Magnoliopsida,Fraxinus latifolia,NA
3172347,Fraxinus ornus L.,Fraxinus ornus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus ornus,6,7707728,220,408,6652,3172323,3172347,FALSE,Magnoliopsida,Fraxinus ornus,NA
3172348,Fraxinus pennsylvanica Marshall,Fraxinus pennsylvanica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus pennsylvanica,6,7707728,220,408,6652,3172323,3172348,FALSE,Magnoliopsida,Fraxinus pennsylvanica,NA
3172370,Fraxinus quadrangulata Michx.,Fraxinus quadrangulata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus quadrangulata,6,7707728,220,408,6652,3172323,3172370,FALSE,Magnoliopsida,Fraxinus quadrangulata,NA
3172373,Fraxinus texensis (A.Gray) Sarg.,Fraxinus texensis,SPECIES,SYNONYM,99,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus albicans,6,7707728,220,408,6652,3172323,3682574,TRUE,Magnoliopsida,Fraxinus texensis,3682574
3172371,Fraxinus uhdei (Wenz.) Lingelsh.,Fraxinus uhdei,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus uhdei,6,7707728,220,408,6652,3172323,3172371,FALSE,Magnoliopsida,Fraxinus uhdei,NA
3172334,Fraxinus velutina Torr.,Fraxinus velutina,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus velutina,6,7707728,220,408,6652,3172323,3172334,FALSE,Magnoliopsida,Fraxinus velutina,NA
3172336,Fraxinus velutina var. coriacea (S.Watson) Rehder,Fraxinus velutina coriacea,VARIETY,SYNONYM,99,EXACT,Plantae,Tracheophyta,Lamiales,Oleaceae,Fraxinus,Fraxinus velutina,6,7707728,220,408,6652,3172323,3172334,TRUE,Magnoliopsida,Fraxinus velutina var. coriacea,3172334
7424655,Fremontodendron californicum (Torr.) Coult.,Fremontodendron californicum,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Malvales,Malvaceae,Fremontodendron,Fremontodendron californicum,6,7707728,220,941,6685,10858067,7424655,FALSE,Magnoliopsida,Fremontodendron californicum,NA
3152158,Fremontodendron mexicanum Davidson,Fremontodendron mexicanum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Malvales,Malvaceae,Fremontodendron,Fremontodendron mexicanum,6,7707728,220,941,6685,10858067,3152158,FALSE,Magnoliopsida,Fremontodendron mexicanum,NA
3033013,Garrya elliptica Douglas ex Lindl.,Garrya elliptica,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Garryales,Garryaceae,Garrya,Garrya elliptica,6,7707728,220,628,8805,3033006,3033013,FALSE,Magnoliopsida,Garrya elliptica,NA
7269149,Geijera parviflora Lindl.,Geijera parviflora,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Sapindales,Rutaceae,Geijera,Geijera parviflora,6,7707728,220,933,2396,3833450,7269149,FALSE,Magnoliopsida,Geijera parviflora,NA
5347587,Genista aetnensis (Biv.) DC.,Genista aetnensis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Genista,Genista aetnensis,6,7707728,220,1370,5386,2940025,5347587,FALSE,Magnoliopsida,Genista aetnensis,NA
8307199,"Genista monosperma Link, 1825",Genista monosperma,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Genista,Genista monosperma,6,7707728,220,1370,5386,8294717,8307199,FALSE,Magnoliopsida,Genista monosperma,NA
2687885,Ginkgo biloba L.,Ginkgo biloba,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba,6,7707728,244,418,3070,2687884,2687885,FALSE,Ginkgoopsida,Ginkgo biloba,NA
2959443,Gleditsia triacanthos L.,Gleditsia triacanthos,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Gleditsia,Gleditsia triacanthos,6,7707728,220,1370,5386,2959442,2959443,FALSE,Magnoliopsida,Gleditsia triacanthos,NA
5386,Fabaceae,Fabaceae,FAMILY,ACCEPTED,98,HIGHERRANK,Plantae,Tracheophyta,Fabales,Fabaceae,NA,NA,6,7707728,220,1370,5386,NA,NA,FALSE,Magnoliopsida,Gleditsia triacanthos var. inermis,NA
5421090,Gordonia lasianthus L. ex Ellis,Gordonia lasianthus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Ericales,Theaceae,Gordonia,Gordonia lasianthus,6,7707728,220,1353,3189597,3189631,5421090,FALSE,Magnoliopsida,Gordonia lasianthus,NA
2891792,Grevillea banksii R.Br.,Grevillea banksii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea banksii,6,7707728,220,400,2414,7940744,2891792,FALSE,Magnoliopsida,Grevillea banksii,NA
